Date : 2026-03-09 16:37:26
Directory : c:\msys64\home\N0ne\myos
Total : 104 files,  35926 codes, 4154 comments, 3812 blanks, all 43892 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\msys64\home\N0ne\myos\src\kernel\gdt.c             | C            |         42 |         12 |         14 |         68 |
| c:\msys64\home\N0ne\myos\src\kernel\idt.c             | C            |        104 |         10 |         20 |        134 |
| c:\msys64\home\N0ne\myos\src\kernel\irq.c             | C            |         29 |          4 |          6 |         39 |
| c:\msys64\home\N0ne\myos\src\kernel\isr.c             | C            |         88 |          8 |          9 |        105 |
| c:\msys64\home\N0ne\myos\src\kernel\kernel.c          | C            |         45 |          8 |          4 |         57 |
| c:\msys64\home\N0ne\myos\src\kernel\syscall.c         | C            |        273 |         32 |         42 |        347 |
| c:\msys64\home\N0ne\myos\src\kernel\task.c            | C            |        183 |         27 |         50 |        260 |
| c:\msys64\home\N0ne\myos\src\kernel\timer.c           | C            |          8 |          1 |          0 |          9 |
| c:\msys64\home\N0ne\myos\src\lib\mylibc.c             | C            |        608 |         72 |         99 |        779 |
| c:\msys64\home\N0ne\myos\src\lib\stdio.c              | C            |         15 |          3 |          3 |         21 |
| c:\msys64\home\N0ne\myos\src\lib\stdlib.c             | C            |         40 |         10 |         13 |         63 |
| c:\msys64\home\N0ne\myos\src\lib\string.c             | C            |         69 |          8 |         13 |         90 |
| c:\msys64\home\N0ne\myos\src\lib\syscall_arch.c       | C            |         38 |          1 |          5 |         44 |
| c:\msys64\home\N0ne\myos\src\mm\kheap.c               | C            |         80 |          8 |         11 |         99 |
| c:\msys64\home\N0ne\myos\src\mm\pmm.c                 | C            |         35 |          4 |          6 |         45 |
| c:\msys64\home\N0ne\myos\src\mm\vmm.c                 | C            |        116 |         28 |         26 |        170 |
| c:\msys64\home\N0ne\myos\tinycc\build_tcc.sh          | Shell Script |         73 |          4 |         10 |         87 |
| c:\msys64\home\N0ne\myos\tinycc\config.h              | C++          |         20 |          4 |          5 |         29 |
| c:\msys64\home\N0ne\myos\tinycc\dwarf.h               | C++          |        837 |        118 |         92 |      1,047 |
| c:\msys64\home\N0ne\myos\tinycc\elf.h                 | C++          |      2,577 |        386 |        362 |      3,325 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\assert.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\ctype.h      | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\errno.h      | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\fcntl.h      | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\inttypes.h   | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\math.h       | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\setjmp.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\signal.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\stdbool.h    | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\stddef.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\stdio.h      | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\stdlib.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\string.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\sys\mman.h   | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\sys\stat.h   | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\sys\time.h   | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\sys\types.h  | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\time.h       | C++          |         24 |          1 |          5 |         30 |
| c:\msys64\home\N0ne\myos\tinycc\fake_inc\unistd.h     | C++          |          0 |          1 |          1 |          2 |
| c:\msys64\home\N0ne\myos\tinycc\i386-asm.c            | C            |      1,496 |        182 |         80 |      1,758 |
| c:\msys64\home\N0ne\myos\tinycc\i386-asm.h            | C++          |        410 |         19 |         62 |        491 |
| c:\msys64\home\N0ne\myos\tinycc\i386-gen.c            | C            |      1,075 |        131 |        101 |      1,307 |
| c:\msys64\home\N0ne\myos\tinycc\i386-link.c           | C            |        262 |         35 |         33 |        330 |
| c:\msys64\home\N0ne\myos\tinycc\i386-tok.h            | C++          |        289 |         14 |         30 |        333 |
| c:\msys64\home\N0ne\myos\tinycc\include\float.h       | C++          |         57 |          8 |         11 |         76 |
| c:\msys64\home\N0ne\myos\tinycc\include\stdalign.h    | C++          |         11 |          0 |          6 |         17 |
| c:\msys64\home\N0ne\myos\tinycc\include\stdarg.h      | C++          |         10 |          1 |          4 |         15 |
| c:\msys64\home\N0ne\myos\tinycc\include\stdatomic.h   | C++          |        139 |         13 |         20 |        172 |
| c:\msys64\home\N0ne\myos\tinycc\include\stdbool.h     | C++          |          7 |          1 |          4 |         12 |
| c:\msys64\home\N0ne\myos\tinycc\include\stddef.h      | C++          |         25 |          7 |          8 |         40 |
| c:\msys64\home\N0ne\myos\tinycc\include\stdnoreturn.h | C++          |          4 |          1 |          3 |          8 |
| c:\msys64\home\N0ne\myos\tinycc\include\tccdefs.h     | C++          |        305 |         38 |         35 |        378 |
